[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0004 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep  0 | tr 0.7866 | vl_ema 0.5689 | iou_ema 0.2100 *NEW BEST* | total 368s
[v3] ep 1 batch    0/1831 | run 0.6045 | lr 1.33e-04 | t 0s
[v3] ep 1 batch   50/1831 | run 0.6106 | lr 1.33e-04 | t 11s
[v3] ep 1 batch  100/1831 | run 0.6068 | lr 1.33e-04 | t 21s
[v3] ep 1 batch  150/1831 | run 0.5970 | lr 1.33e-04 | t 31s
[v3] ep 1 batch  200/1831 | run 0.5926 | lr 1.33e-04 | t 42s
[v3] ep 1 batch  250/1831 | run 0.5872 | lr 1.33e-04 | t 52s
[v3] ep 1 batch  300/1831 | run 0.5809 | lr 1.33e-04 | t 62s
[v3] ep 1 batch  350/1831 | run 0.5759 | lr 1.33e-04 | t 72s
[v3] ep 1 batch  400/1831 | run 0.5707 | lr 1.33e-04 | t 83s
[v3] ep 1 batch  450/1831 | run 0.5659 | lr 1.33e-04 | t 93s
[v3] ep 1 batch  500/1831 | run 0.5605 | lr 1.33e-04 | t 103s
[v3] ep 1 batch  550/1831 | run 0.5568 | lr 1.33e-04 | t 113s
[v3] ep 1 batch  600/1831 | run 0.5522 | lr 1.33e-04 | t 124s
[v3] ep 1 batch  650/1831 | run 0.5483 | lr 1.33e-04 | t 134s
[v3] ep 1 batch  700/1831 | run 0.5432 | lr 1.33e-04 | t 144s
[v3] ep 1 batch  750/1831 | run 0.5387 | lr 1.33e-04 | t 154s
[v3] ep 1 batch  800/1831 | run 0.5356 | lr 1.33e-04 | t 164s
[v3] ep 1 batch  850/1831 | run 0.5323 | lr 1.33e-04 | t 175s
[v3] ep 1 batch  900/1831 | run 0.5284 | lr 1.33e-04 | t 185s
[v3] ep 1 batch  950/1831 | run 0.5253 | lr 1.33e-04 | t 195s
[v3] ep 1 batch 1000/1831 | run 0.5219 | lr 1.33e-04 | t 205s
[v3] ep 1 batch 1050/1831 | run 0.5189 | lr 1.33e-04 | t 215s
[v3] ep 1 batch 1100/1831 | run 0.5153 | lr 1.33e-04 | t 226s
[v3] ep 1 batch 1150/1831 | run 0.5127 | lr 1.33e-04 | t 236s
[v3] ep 1 batch 1200/1831 | run 0.5090 | lr 1.33e-04 | t 246s
[v3] ep 1 batch 1250/1831 | run 0.5054 | lr 1.33e-04 | t 256s
